Day,Order sumary,,,,, Totals 
Sunday,Item,Quantity,Item Price,Total Cost of Item,Total,"$1,632.50 "
,501,25,$6.50 ,$162.50 ,,
,502,25,$5.50 ,$137.50 ,,
,503,25,$4.50 ,$112.50 ,,
,504,20,$2.50 ,$50.00 ,,
,505,5,$5.00 ,$25.00 ,,
,506,10,$32.00 ,$320.00 ,,
,507,25,$0.75 ,$18.75 ,,
,508,10,$4.75 ,$47.50 ,,
,509,45,$7.50 ,$337.50 ,,
,510,25,$3.75 ,$93.75 ,,
,511,10,$4.50 ,$45.00 ,,
,512,5,$3.50 ,$17.50 ,,
,513,100,$0.10 ,$10.00 ,,
,514,30,$1.50 ,$45.00 ,,
,515,20,$1.50 ,$30.00 ,,
,516,10,$1.50 ,$15.00 ,,
,517,30,$1.75 ,$52.50 ,,
,518,50,$1.25 ,$62.50 ,,
,519,25,$2.00 ,$50.00 ,,
,,,,,,
Monday,Item,Quantity,Item Price ,Total Cost of Item,Total,"$1,263.00 "
,501,20,$6.50 ,$130.00 ,,
,502,25,$5.50 ,$137.50 ,,
,503,22,$4.50 ,$99.00 ,,
,504,20,$2.50 ,$50.00 ,,
,505,5,$5.00 ,$25.00 ,,
,506,0,$32.00 ,$0.00 ,,
,507,25,$0.75 ,$18.75 ,,
,508,10,$4.75 ,$47.50 ,,
,509,45,$7.50 ,$337.50 ,,
,510,25,$3.75 ,$93.75 ,,
,511,10,$4.50 ,$45.00 ,,
,512,5,$3.50 ,$17.50 ,,
,513,65,$0.10 ,$6.50 ,,
,514,30,$1.50 ,$45.00 ,,
,515,20,$1.50 ,$30.00 ,,
,516,10,$1.50 ,$15.00 ,,
,517,30,$1.75 ,$52.50 ,,
,518,50,$1.25 ,$62.50 ,,
,519,25,$2.00 ,$50.00 ,,
,,,,,,
Tuesday,Item,Quantity,Item Price,Total Cost of Item,Total,"$1,457.50 "
,501,27,$6.50 ,$175.50 ,,
,502,30,$5.50 ,$165.00 ,,
,503,30,$4.50 ,$135.00 ,,
,504,20,$2.50 ,$50.00 ,,
,505,5,$5.00 ,$25.00 ,,
,506,2,$32.00 ,$64.00 ,,
,507,25,$0.75 ,$18.75 ,,
,508,12,$4.75 ,$57.00 ,,
,509,45,$7.50 ,$337.50 ,,
,510,25,$3.75 ,$93.75 ,,
,511,6,$4.50 ,$27.00 ,,
,512,5,$3.50 ,$17.50 ,,
,513,65,$0.10 ,$6.50 ,,
,514,50,$1.50 ,$75.00 ,,
,515,20,$1.50 ,$30.00 ,,
