Day,Order sumary,,,,, Totals 
Sunday,Item,Quantity,Item Price,Total Cost of Item,Total,"$1,702.40 "
,501,24,$6.50 ,$156.00 ,,
,502,13,$5.50 ,$71.50 ,,
,503,32,$4.50 ,$144.00 ,,
,504,17,$2.50 ,$42.50 ,,
,505,10,$5.00 ,$50.00 ,,
,506,13,$32.00 ,$416.00 ,,
,507,20,$0.75 ,$15.00 ,,
,508,13,$4.75 ,$61.75 ,,
,509,44,$7.50 ,$330.00 ,,
,510,30,$3.75 ,$112.50 ,,
,511,8,$4.50 ,$36.00 ,,
,512,2,$3.50 ,$7.00 ,,
,513,79,$0.10 ,$7.90 ,,
,514,22,$1.50 ,$33.00 ,,
,515,18,$1.50 ,$27.00 ,,
,516,14,$1.50 ,$21.00 ,,
,517,33,$1.75 ,$57.75 ,,
,518,46,$1.25 ,$57.50 ,,
,519,28,$2.00 ,$56.00 ,,
,,,,,,
Monday,Item,Quantity,Item Price ,Total Cost of Item,Total,"$1,681.95 "
,501,34,$6.50 ,$221.00 ,,
,502,30,$5.50 ,$165.00 ,,
,503,24,$4.50 ,$108.00 ,,
,504,22,$2.50 ,$55.00 ,,
,505,9,$5.00 ,$45.00 ,,
,506,9,$32.00 ,$288.00 ,,
,507,30,$0.75 ,$22.50 ,,
,508,9,$4.75 ,$42.75 ,,
,509,33,$7.50 ,$247.50 ,,
,510,37,$3.75 ,$138.75 ,,
,511,4,$4.50 ,$18.00 ,,
,512,10,$3.50 ,$35.00 ,,
,513,57,$0.10 ,$5.70 ,,
,514,45,$1.50 ,$67.50 ,,
,515,18,$1.50 ,$27.00 ,,
,516,13,$1.50 ,$19.50 ,,
,517,28,$1.75 ,$49.00 ,,
,518,47,$1.25 ,$58.75 ,,
,519,34,$2.00 ,$68.00 ,,
,,,,,,
Tuesday,Item,Quantity,Item Price,Total Cost of Item,Total,"$1,330.30 "
,501,18,$6.50 ,$117.00 ,,
,502,23,$5.50 ,$126.50 ,,
,503,20,$4.50 ,$90.00 ,,
,504,24,$2.50 ,$60.00 ,,
,505,4,$5.00 ,$20.00 ,,
,506,3,$32.00 ,$96.00 ,,
,507,24,$0.75 ,$18.00 ,,
,508,9,$4.75 ,$42.75 ,,
,509,43,$7.50 ,$322.50 ,,
,510,28,$3.75 ,$105.00 ,,
,511,6,$4.50 ,$27.00 ,,
,512,8,$3.50 ,$28.00 ,,
,513,68,$0.10 ,$6.80 ,,
,514,26,$1.50 ,$39.00 ,,
,515,22,$1.50 ,$33.00 ,,
,516,14,$1.50 ,$21.00 ,,
,517,33,$1.75 ,$57.75 ,,
,518,40,$1.25 ,$50.00 ,,
,519,35,$2.00 ,$70.00 ,,
,,,,,,
Wednesday,Item,Quantity,Item Price,Total Cost of Item,Total,"$1,792.90 "
,501,28,$6.50 ,$182.00 ,,
,502,36,$5.50 ,$198.00 ,,
,503,33,$4.50 ,$148.50 ,,
,504,27,$2.50 ,$67.50 ,,
,505,8,$5.00 ,$40.00 ,,
,506,4,$32.00 ,$128.00 ,,
,507,28,$0.75 ,$21.00 ,,
,508,17,$4.75 ,$80.75 ,,
,509,50,$7.50 ,$375.00 ,,
,510,27,$3.75 ,$101.25 ,,
,511,8,$4.50 ,$36.00 ,,
