Day,Order sumary,,,,, Totals 
Sunday,Item,Quantity,Item Price,Total Cost of Item,Total,"$1,481.00 "
,501,23,$6.50 ,$149.50 ,,
,502,31,$5.50 ,$170.50 ,,
,503,20,$4.50 ,$90.00 ,,
,504,23,$2.50 ,$57.50 ,,
,505,2,$5.00 ,$10.00 ,,
,506,8,$32.00 ,$256.00 ,,
,507,24,$0.75 ,$18.00 ,,
,508,13,$4.75 ,$61.75 ,,
,509,40,$7.50 ,$300.00 ,,
,510,22,$3.75 ,$82.50 ,,
,511,8,$4.50 ,$36.00 ,,
,512,3,$3.50 ,$10.50 ,,
,513,80,$0.10 ,$8.00 ,,
,514,36,$1.50 ,$54.00 ,,
,515,18,$1.50 ,$27.00 ,,
,516,2,$1.50 ,$3.00 ,,
,517,26,$1.75 ,$45.50 ,,
,518,33,$1.25 ,$41.25 ,,
,519,30,$2.00 ,$60.00 ,,
,,,,,,
Monday,Item,Quantity,Item Price ,Total Cost of Item,Total,"$1,212.80 "
,501,17,$6.50 ,$110.50 ,,
,502,23,$5.50 ,$126.50 ,,
,503,26,$4.50 ,$117.00 ,,
,504,17,$2.50 ,$42.50 ,,
,505,6,$5.00 ,$30.00 ,,
,506,3,$32.00 ,$96.00 ,,
,507,19,$0.75 ,$14.25 ,,
,508,13,$4.75 ,$61.75 ,,
,509,38,$7.50 ,$285.00 ,,
,510,13,$3.75 ,$48.75 ,,
,511,11,$4.50 ,$49.50 ,,
,512,6,$3.50 ,$21.00 ,,
,513,58,$0.10 ,$5.80 ,,
,514,27,$1.50 ,$40.50 ,,
,515,14,$1.50 ,$21.00 ,,
,516,6,$1.50 ,$9.00 ,,
,517,24,$1.75 ,$42.00 ,,
,518,43,$1.25 ,$53.75 ,,
,519,19,$2.00 ,$38.00 ,,
,,,,,,
Tuesday,Item,Quantity,Item Price,Total Cost of Item,Total,"$1,414.00 "
,501,24,$6.50 ,$156.00 ,,
,502,28,$5.50 ,$154.00 ,,
,503,26,$4.50 ,$117.00 ,,
,504,23,$2.50 ,$57.50 ,,
,505,7,$5.00 ,$35.00 ,,
,506,3,$32.00 ,$96.00 ,,
,507,22,$0.75 ,$16.50 ,,
,508,10,$4.75 ,$47.50 ,,
,509,42,$7.50 ,$315.00 ,,
,510,20,$3.75 ,$75.00 ,,
,511,7,$4.50 ,$31.50 ,,
,512,2,$3.50 ,$7.00 ,,
,513,60,$0.10 ,$6.00 ,,
,514,53,$1.50 ,$79.50 ,,
,515,22,$1.50 ,$33.00 ,,
,516,13,$1.50 ,$19.50 ,,
,517,28,$1.75 ,$49.00 ,,
,518,52,$1.25 ,$65.00 ,,
,519,27,$2.00 ,$54.00 ,,
,,,,,,
Wednesday,Item,Quantity,Item Price,Total Cost of Item,Total,"$1,660.00 "
,501,32,$6.50 ,$208.00 ,,
,502,29,$5.50 ,$159.50 ,,
,503,40,$4.50 ,$180.00 ,,
,504,25,$2.50 ,$62.50 ,,
,505,8,$5.00 ,$40.00 ,,
,506,4,$32.00 ,$128.00 ,,
,507,28,$0.75 ,$21.00 ,,
,508,13,$4.75 ,$61.75 ,,
,509,42,$7.50 ,$315.00 ,,
,510,26,$3.75 ,$97.50 ,,
,511,9,$4.50 ,$40.50 ,,
,512,3,$3.50 ,$10.50 ,,
,513,75,$0.10 ,$7.50 ,,
,514,69,$1.50 ,$103.50 ,,
,515,20,$1.50 ,$30.00 ,,
,516,7,$1.50 ,$10.50 ,,
,517,33,$1.75 ,$57.75 ,,
,518,50,$1.25 ,$62.50 ,,
,519,32,$2.00 ,$64.00 ,,
,,,,,,
Thursday,Item,Quantity,Item Price,Total Cost of Item,Total,"$2,069.25 "
,501,40,$6.50 ,$260.00 ,,
,502,43,$5.50 ,$236.50 ,,
,503,40,$4.50 ,$180.00 ,,
,504,29,$2.50 ,$72.50 ,,
,505,5,$5.00 ,$25.00 ,,
,506,3,$32.00 ,$96.00 ,,
,507,33,$0.75 ,$24.75 ,,
